Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Severity),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
Verify if the Transaction subsection has all the required fields inserted,MTFP-57,10056,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 2:05 PM,12/Jun/23 10:42 PM,12/Jun/23 11:03 PM,12/Jun/23 3:18 PM,,,,0,,,,"* Transactions – this section will show all the transaction that the customer has made by deposit or by withdrawal money. The transaction section will shown the following fields: Date-Time – that will show when the transaction was made by date and hour, the amount – will display the amount of money that were in the transaction and the Transaction type that will be either credit or debit type.",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-20,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c7:,,,,,,,,,,,,,,,,Done
Check if the customer can logout from the app using the Logout button,MTFP-56,10055,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 2:03 PM,12/Jun/23 10:43 PM,12/Jun/23 11:03 PM,12/Jun/23 2:32 PM,,,,0,,,,"When a customer login into the XYZ Bank application, after he checks everything the user needs, he can logout from the XYZ Bank app using the Logout button",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-16,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bz:,,,,,,,,,,,,,,,,Done
Verify if the customer can login into the XYZ Bank  app,MTFP-55,10054,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Highest,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 1:59 PM,12/Jun/23 10:44 PM,12/Jun/23 10:44 PM,12/Jun/23 2:28 PM,,,,0,CustomerLogin,,,"The customer can login and use the app only after the bank manager will create an customer account for him. After the customer is created into the system, the customer, client, can login by himself into the application by follow the next steps:

Go to the app: [+XYZ Bank (globalsqa.com)+|https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account] select the customer login field, after that, select his own name in the field your name and press the Login button.

The customer section will then show the following fields: Transactions, Deposit, Withdrawal - section that the customer can check, the Logout and Home button.

The account number, balance and currency will be also shown with the details of the moment shown.",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-19,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000br:,,,,,,,,,,,,,,,,Done
Customer subsection of Bank Manager doesn't have all the required fields inserted into the modal.,MTFP-54,10053,,Bug,To Do,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,High,,,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 1:51 AM,12/Jun/23 10:39 PM,13/Jun/23 12:06 PM,,,Create XYZ Bank application,,0,Customer,,,"*Precondition:* Bank manager account created/ customer account created

When a bank manager user checks the database, it has to show to the user some valid and specific details about the customer's account.
*Steps to reproduce: *Open the XYZ Bank account, login into the bank manager section using valid credentials, select the customer subsection and check if all the required fields exists: Customer id, first name, last name, ssn, account number, currency, delete button
*Expected result: * Customer subsection opens and all the fields are inserted into the modal.
*Actual result:* Into the Customer modal the Customer ID, SSN does not exists.",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-16,,MTFP-52,,,,,,,12/Jun/23 1:50 AM;712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf;customer subsection.jpg;https://cismaruanamaria.atlassian.net/rest/api/3/attachment/content/10009,,,,,,,,,,MTFP-2,Create the Bank Manager Login section,,,,,,,0|i000bj:,,Major,MTFP Sprint 1,,,,,,,,,,,,,To Do
Verify if you can Delete a customer from the database using the Delete button,MTFP-53,10052,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 1:21 AM,12/Jun/23 10:45 PM,12/Jun/23 11:03 PM,12/Jun/23 1:32 AM,,,,0,,,,"* Delete customer – when the bank manager want s to delete a customer, he can be able to do that only by pressing the delete button. The delete button will be used only by the authorized personal, in the limit of the low, based on the bank protocol that exists.",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-16,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bb:,,,,,,,,,,,,,,,,Done
Verify if the Customer subsection has all the required fields inserted,MTFP-52,10051,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,High,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 1:20 AM,12/Jun/23 11:05 PM,12/Jun/23 11:04 PM,12/Jun/23 1:41 AM,,,,0,AddCustomer,,,"When pressing the customer section it should be a list with all the customers that have been created and the list should contain the details of the customer and the possibility to delete the customer from the bank fields. 

The required fields to be completed are:

* Customer Id
* First name
* Last Name
* SSN
* Account Number
* Currency
* Delete button",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-54,MTFP-16,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b3:,,,,,,,,,,,,,,,,Done
"Verify if you can search a customer into the search customer field, Customers subsection, Bank Manager section",MTFP-51,10050,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 1:17 AM,12/Jun/23 10:53 PM,12/Jun/23 11:04 PM,12/Jun/23 1:26 AM,,,,0,CustomerLogin,,,As a bank manager user you have the possibility to select a customer from the database using the select customer field.,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-16,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000av:,,,,,,,,,,,,,,,,Done
Customer is force to open an account only in 3 currency types instead of all 200 world wide used.,MTFP-50,10049,,Bug,In Progress,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,High,,,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 12:52 AM,12/Jun/23 12:53 AM,13/Jun/23 12:05 PM,,,Create XYZ Bank application,,0,OpenAccount,,,"*Precondition:* Bank manager account created/ customer account created

When a new account needs to be opened for a customer, it needs to enter some specific details of a customer, that are only his.
*Steps to reproduce*: Open the XYZ Bank account, login into the bank manager section using valid credentials, select the open account subsection and check if you can select any currency of all 200 used world wide.
*Expected result: *Open Account subsection opens and the field currency contains all the 200 currency types that are in use world wide.
*Actual result:* A new account can be opened only in 3 currency types: dollar, rupee, pound",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-11,,MTFP-45,,,,,,,12/Jun/23 12:51 AM;712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf;currency.jpg;https://cismaruanamaria.atlassian.net/rest/api/3/attachment/content/10008,,,,,,,,,,MTFP-2,Create the Bank Manager Login section,,,,,,,0|i000an:,,Major,MTFP Sprint 1,,,,,,,,,,,,,In Progress
Open Account subsection does not have all the required fields inserted,MTFP-49,10048,,Bug,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Highest,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 12:39 AM,12/Jun/23 10:39 PM,13/Jun/23 12:04 PM,12/Jun/23 12:42 AM,,Create XYZ Bank application,,0,OpenAccount,,,"*Precondition*: Bank manager account created/ customer account created

When a new account needs to be opened for a customer, it needs to enter some specific details of a customer, that are only his.
*Steps to reproduce:* Open the XYZ Bank account, login into the bank manager section using valid credentials, select the open account subsection and check if all the fields needed to create an account are inserted: customer, currency, personal numeric code, process button.
*Expected result:* Open Account subsection opens and the modal contains the following fields: Customer, Currency, Personal Numeric Code, Process button
*Actual result:* In the open account subsection the Personal Numeric Code field does not exist.",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-44,MTFP-11,MTFP-44,,,,,,,12/Jun/23 12:38 AM;712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf;currency.jpg;https://cismaruanamaria.atlassian.net/rest/api/3/attachment/content/10007,,,,,,,,,,MTFP-2,Create the Bank Manager Login section,,,,,,,0|i000af:,,Critical,MTFP Sprint 1,,,,,,,,,,12/Jun/23 12:42 AM;712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf;The bug was fixed and the testing process can continue. ,,,Done
Verify if you can open an account entering valid customer and a currency,MTFP-48,10047,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,High,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 12:19 AM,12/Jun/23 10:52 PM,12/Jun/23 11:04 PM,12/Jun/23 1:09 AM,,,,0,Currency,OpenAccount,,A new account will be opened by the time all the fields will be completed with valid details.,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-11,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000a7:,,,,,,,,,,,,,,,,Done
Verify if you can open an account without selecting a currency,MTFP-47,10046,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,High,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 12:18 AM,12/Jun/23 10:52 PM,12/Jun/23 11:05 PM,12/Jun/23 1:02 AM,,,,0,Currency,OpenAccount,,,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-11,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009z:,,,,,,,,,,,,,,,,Done
Verify if you can open an account without selecting the customer,MTFP-46,10045,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,High,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 12:17 AM,12/Jun/23 10:51 PM,12/Jun/23 11:04 PM,12/Jun/23 12:58 AM,,,,0,OpenAccount,,,* Customer – you should choose the new customer’s name that you have created previously. You can either type or select it from the drop down. This field is a required field.,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-11,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009r:,,,,,,,,,,,,,,,,Done
Verify if open account is possible in any currency that are in use in the world at this time,MTFP-45,10044,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 12:13 AM,12/Jun/23 10:51 PM,12/Jun/23 11:05 PM,12/Jun/23 12:45 AM,,,,0,Currency,OpenAccount,,* Currency: - you should be able to choose from the drop down the actual currency that you want your account to have. You can choose it from the drop down list with all the currency existing at this time. This field is a required field.,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-50,MTFP-11,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009j:,,,,,,,,,,,,,,,,Done
